"","ZIPCode","Community.Area","Community.Area.Name","Birth.Rate","Prostate.Cancer.in.Males","General.Fertility.Rate","Low.Birth.Weight","Prenatal.Care.Beginning.in.First.Trimester","Preterm.Births","Teen.Birth.Rate","Assault..Homicide.","Breast.cancer.in.females","Cancer..All.Sites.","Colorectal.Cancer","Diabetes.related","Firearm.related","Infant.Mortality.Rate","Lung.Cancer","Prostate.Cancer.in.Males.1","Stroke..Cerebrovascular.Disease.","Childhood.Blood.Lead.Level.Screening","Childhood.Lead.Poisoning","Gonorrhea.in.Females","Gonorrhea.in.Males","Tuberculosis","Below.Poverty.Level","Crowded.Housing","Dependency","No.High.School.Diploma","Per.Capita.Income","Unemployment","2010Pop","Neighborhood"
"292",60628,49,"Roseland",14.3,57.6,68.8,12.2,69,12.8,79.7,40.9,43.5,258.5,32,95.5,37.7,9.6,70.3,57.6,55.6,369.5,1.9,1512,"1725.3",7.9,19.5,3.1,40.9,17.4,17974,17.8,38126,"MORGAN PARK"
"293",60628,49,"Roseland",14.3,57.6,68.8,12.2,69,12.8,79.7,40.9,43.5,258.5,32,95.5,37.7,9.6,70.3,57.6,55.6,369.5,1.9,1512,"1725.3",7.9,19.5,3.1,40.9,17.4,17974,17.8,38126,"PULLMAN"
"294",60628,54,"Riverdale",12.5,42.5,46.1,15.3,74.1,16.5,64.5,33,25,258.3,39.4,115.9,32.8,8.7,86.1,42.5,80.6,NA,NA,1699.7,"1397.9",5.8,61.4,5.1,50.2,24.6,8535,26.4,0,"ROSELAND"
"295",60628,54,"Riverdale",12.5,42.5,46.1,15.3,74.1,16.5,64.5,33,25,258.3,39.4,115.9,32.8,8.7,86.1,42.5,80.6,NA,NA,1699.7,"1397.9",5.8,61.4,5.1,50.2,24.6,8535,26.4,0,"WEST PULLMAN"
"296",60628,54,"Riverdale",12.5,42.5,46.1,15.3,74.1,16.5,64.5,33,25,258.3,39.4,115.9,32.8,8.7,86.1,42.5,80.6,NA,NA,1699.7,"1397.9",5.8,61.4,5.1,50.2,24.6,8535,26.4,0,"MORGAN PARK"
"297",60628,54,"Riverdale",12.5,42.5,46.1,15.3,74.1,16.5,64.5,33,25,258.3,39.4,115.9,32.8,8.7,86.1,42.5,80.6,NA,NA,1699.7,"1397.9",5.8,61.4,5.1,50.2,24.6,8535,26.4,0,"PULLMAN"
"298",60628,53,"West Pullman",15.3,62.9,71.2,14.9,71.3,14.4,67.8,43.9,20.3,263.6,32.6,83.4,46.5,11.9,78.6,62.9,63.9,397.2,1.1,1656.9,"1673.4",9.2,24.3,3.3,42.2,22.6,16228,17,22290,"ROSELAND"
"299",60628,53,"West Pullman",15.3,62.9,71.2,14.9,71.3,14.4,67.8,43.9,20.3,263.6,32.6,83.4,46.5,11.9,78.6,62.9,63.9,397.2,1.1,1656.9,"1673.4",9.2,24.3,3.3,42.2,22.6,16228,17,22290,"WEST PULLMAN"
"300",60628,53,"West Pullman",15.3,62.9,71.2,14.9,71.3,14.4,67.8,43.9,20.3,263.6,32.6,83.4,46.5,11.9,78.6,62.9,63.9,397.2,1.1,1656.9,"1673.4",9.2,24.3,3.3,42.2,22.6,16228,17,22290,"MORGAN PARK"
"301",60628,53,"West Pullman",15.3,62.9,71.2,14.9,71.3,14.4,67.8,43.9,20.3,263.6,32.6,83.4,46.5,11.9,78.6,62.9,63.9,397.2,1.1,1656.9,"1673.4",9.2,24.3,3.3,42.2,22.6,16228,17,22290,"PULLMAN"
