"","Neighborhood","ZIPCode","Community.Area","Community.Area.Name","Diabetes.related","Per.Capita.Income","Unemployment","2010Pop","Birth.Rate","General.Fertility.Rate","Low.Birth.Weight","Prenatal.Care.Beginning.in.First.Trimester","Preterm.Births","Teen.Birth.Rate","Assault..Homicide.","Breast.cancer.in.females","Cancer..All.Sites.","Colorectal.Cancer","Diabetes.related.1","Firearm.related","Infant.Mortality.Rate","Lung.Cancer","Prostate.Cancer.in.Males","Stroke..Cerebrovascular.Disease.","Childhood.Blood.Lead.Level.Screening","Childhood.Lead.Poisoning","Gonorrhea.in.Females","Gonorrhea.in.Males","Tuberculosis","Below.Poverty.Level","Crowded.Housing","Dependency","No.High.School.Diploma","AcresOfParks","NumberOfParks","Liquor Licenses","Grocery Stores"
"105","BRIGHTON PARK",60632,58,"Brighton Park",69.7,13138,11.2,45122,20.6,90.6,7.2,82.7,8.3,58.1,11.1,26.8,139.1,12.8,69.7,10.6,5.9,27.7,15.1,38.3,580.4,0.9,97.2,"52.7",11.5,23,13.2,39.8,48.2,34.88,7,97,10
"106","BRIGHTON PARK",60632,30,"South Lawndale",65,10697,11.5,0,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,"106.8",7.9,28.1,17.6,33.1,58.7,34.88,7,97,10
"107","BRIGHTON PARK",60632,56,"Garfield Ridge",80.3,24684,8.1,3752,13.4,69,8,81.7,9.5,33.7,9.9,31,231.9,24.6,80.3,9.2,4.5,59.2,30.9,42.2,354.9,0.1,180,"101.8",3.5,9,2.6,39.5,19.4,34.88,7,97,10
"108","BRIGHTON PARK",60632,59,"McKinley Park",61.4,17577,11.9,175,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8,34.88,7,97,10
"109","BRIGHTON PARK",60632,62,"West Elsdon",68.5,16938,13.5,7243,20.8,92.3,4.6,81.2,7.5,45.5,5.9,12.1,180.6,11.5,68.5,7.7,8.1,57.8,44.7,42.6,492.6,0.2,122,"115.9",4.5,9.8,8.7,38.7,39.6,34.88,7,97,10
"110","BRIGHTON PARK",60632,63,"Gage Park",65,12014,14,21641,21.8,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,"149.2",7,20.8,17.4,40.4,54.1,34.88,7,97,10
"111","BRIGHTON PARK",60632,57,"Archer Heights",67.7,16145,14.2,13393,18.1,80,8.7,74.3,10,50.3,16.6,25.2,166.3,9,67.7,15.4,5.2,49.6,20.5,41.8,543.5,0.5,NA,".",1.5,13,8.5,40.5,36.4,34.88,7,97,10
"112","CALUMET HEIGHTS",60619,43,"South Shore",95.4,18366,17.7,3691,15.7,67.9,13.8,71.9,13.4,65.9,33.4,32.4,246,25.1,95.4,30,11.4,70,54.8,53.2,470.3,1.1,1718.6,"1357.1",11.7,31.5,2.9,37.6,14.9,97.65,15,45,2
"113","CALUMET HEIGHTS",60619,69,"Greater Grand Crossing",92.3,17213,18.9,17109,18.2,82.4,12.9,72.3,15.1,84.3,49.7,29.1,274.4,31.5,92.3,44.6,14.2,77.5,70.3,58.2,453.7,1.9,2500.3,"2034.2",4.8,25.6,4.2,42.9,17.9,97.65,15,45,2
"114","CALUMET HEIGHTS",60619,44,"Chatham",73.2,20320,19,27724,14.4,71.3,15.4,72.5,15.6,68.2,45.2,41.9,213.5,24.1,73.2,37.9,10.9,51.5,47.9,50.3,418.3,0.5,1896.3,"1855.8",8.2,25.3,2.2,40,13.7,97.65,15,45,2
